,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,first_case,Start date,End date,Length (days),Level
101,Algeria,271795,,"6,881                                ",,"183,006",,"81,908",,"5,993",152,"230,960","5,093","45,350,148 ",Africa,167,"6,591",196,,,"1,806",25 February 2020,2020-03-23,2020-05-14,52,City
102,Nigeria,266675,,"3,155                                ",,"259,953",,"3,567",11,"1,230",15,"5,708,974","26,339","216,746,934 ",Africa,813,"68,700",38,,,16,27 February 2020,2020-03-30,2020-04-12,13,City
103,Zimbabwe,264776,,"5,689                                ",,"258,888",,199,12,"17,270",371,"2,525,756","164,744","15,331,428 ",Africa,58,"2,695",6,,,13,20 March 2020,2020-03-30,2020-05-02,33,National
104,Uzbekistan,253287,,"1,637                                ",,"241,486",,"10,164",23,"7,367",48,"1,377,915","40,077","34,382,084 ",Asia,136,"21,003",25,,,296,15 March 2020,Non-Lockdown,,,
105,Mozambique,233417,,"2,243                                ",,"228,805",,"2,369",11,"7,054",68,"1,371,127","41,437","33,089,461 ",Africa,142,"14,752",24,,,72,22 March 2020,Non-Lockdown,,,
106,Martinique,229900,,"1,100                                ",,N/A,N/A,N/A,12,"614,563","2,940","828,928","2,215,870","374,087 ",North America,2,340,0,,,"611,344",5 March 2020,Non-Lockdown,,,
107,Afghanistan,218100,,"7,902                                ",,"194,718",,"15,480",45,"5,352",194,"1,244,608","30,539","40,754,388 ",Asia,187,"5,157",33,,,380,24 February 2020,Non-Lockdown,,,
108,Laos,218092,1,758                                ,,N/A,N/A,N/A,,"29,153",101,"1,233,207","164,845","7,481,023 ",Asia,34,"9,869",6,0.1,,"28,027",24 March 2020,Non-Lockdown,,,
109,Iceland,209191,,229                                ,,N/A,N/A,N/A,2,"605,661",663,"1,996,384","5,780,036","345,393 ",Europe,2,"1,508",0,,,"385,871",28 February 2020,Non-Lockdown,,,
110,Kyrgyzstan,206888,,"2,991                                ",,"196,406",,"7,491",131,"30,749",445,"1,907,195","283,460","6,728,271 ",Asia,33,"2,250",4,,,"1,113",18 March 2020,Non-Lockdown,,,
111,Guadeloupe,202653,,"1,017                                ",,N/A,N/A,N/A,19,"506,894","2,544","938,039","2,346,306","399,794 ",North America,2,393,0,,,"498,722",13 March 2020,Non-Lockdown,,,
112,El Salvador,201785,,"4,230                                ",,"179,410",,"18,145",8,"30,805",646,"2,610,114","398,467","6,550,389 ",North America,32,"1,549",3,,,"2,770",18 March 2020,2020-03-12,2020-04-02,21,National
113,Trinidad and Tobago,191496,,"4,390                                ",,"187,078",,28,8,"136,143","3,121","913,289","649,295","1,406,585 ",North America,7,320,2,,,20,12 March 2020,2020-03-17,2020-03-31,14,National
114,Maldives,186526,,314                                ,,"163,687",,"22,525",25,"344,790",580,"2,213,831","4,092,223","540,985 ",Asia,3,"1,723",0,,,"41,637",7 March 2020,Non-Lockdown,,,
115,Ghana,171657,,"1,462                                ",,"170,161",,34,2,"5,299",45,"2,536,496","78,298","32,395,450 ",Africa,189,"22,158",13,,,1,13 March 2020,2020-03-30,2020-04-12,13,Metropolitan area
116,Namibia,171222,,"4,090                                ",,"167,099",,33,,"65,008","1,553","1,062,663","403,460","2,633,874 ",Africa,15,644,2,,,13,14 March 2020,2020-03-27,2020-05-04,38,
117,Uganda,170671,,"3,632                                ",,"100,431",,"66,608",3,"3,524",75,"3,012,408","62,198","48,432,863 ",Africa,284,"13,335",16,,,"1,375",20 March 2020,Non-Lockdown,,,
118,Jamaica,154874,,"3,536                                ",,"102,899",,"48,439",,"51,882","1,185","1,183,986","396,633","2,985,094 ",North America,19,844,3,,,"16,227",10 March 2020,2020-04-15,2020-04-22,7,Parish
119,Cambodia,138736,,"3,056                                ",,"135,677",,3,,"8,081",178,"3,091,420","180,062","17,168,639 ",Asia,124,"5,618",6,,,0.2,27 January 2020,2021-04-15,2021-05-05,21,Municipality
120,Rwanda,133194,,"1,468                                ",,"131,647",,79,,"9,793",108,"6,021,981","442,778","13,600,464 ",Africa,102,"9,265",2,,,6,14 March 2020,2020-03-21,2020-04-19,29,National
121,Cameroon,124983,,"1,971                                ",,"122,807",,205,13,"4,478",71,"1,751,774","62,762","27,911,548 ",Africa,223,"14,161",16,,,7,6 March 2020,Non-Lockdown,,,
122,Malta,118574,,835                                ,,"117,151",,588,4,"267,039","1,880","2,137,285","4,813,347","444,033 ",Europe,4,532,0,,,"1,324",7 March 2020,Non-Lockdown,,,
123,Barbados,107566,,589                                ,,"106,971",,6,,"373,463","2,045","801,451","2,782,594","288,023 ",North America,3,489,0,,,21,17 March 2020,2020-03-28,2020-05-03,36,National
124,Angola,105384,,"1,934                                ",,"103,419",,31,,"3,009",55,"1,499,795","42,818","35,027,343 ",Africa,332,"18,111",23,,,0.9,19 March 2020,Non-Lockdown,,,
125,Channel Islands,101717,,228                                ,,"101,321",,168,,"576,421","1,292","1,252,808","7,099,551","176,463 ",Europe,2,774,0,,,952,,Non-Lockdown,,,
126,French Guiana,98041,,420                                ,,"11,254",,"86,367",6,"312,065","1,337","651,257","2,072,951","314,169 ",South America,3,748,0,,,"274,906",4 March 2020,Non-Lockdown,,,
127,DRC,96403,,"1,465                                ",,"84,489",,"10,449",,"1,012",15,"846,704","8,890","95,240,792 ",Africa,988,"65,011",112,,,110,,Non-Lockdown,,,
128,Senegal,88997,,"1,971                                ",,"87,024",,2,,"5,041",112,"1,146,543","64,946","17,653,671 ",Africa,198,"8,957",15,,,0.1,2 March 2020,Non-Lockdown,,,
129,Malawi,88728,,"2,686                                ",,"85,651",,391,67,"4,397",133,"624,784","30,959","20,180,839 ",Africa,227,"7,513",32,,,19,2 April 2020,Non-Lockdown,,,
130,Ivory Coast,88328,,834                                ,,"87,491",,3,,"3,184",30,"1,690,121","60,922","27,742,298 ",Africa,314,"33,264",16,,,0.1,11 March 2020,Non-Lockdown,,,
131,Suriname,82495,,"1,404                                ",,N/A,N/A,N/A,,"138,222","2,352","241,666","404,915","596,831 ",South America,7,425,2,,,"52,502",13 March 2020,Non-Lockdown,,,
132,New Caledonia,79922,,314                                ,,"79,605",,3,9,"274,726","1,079","98,964","340,182","290,915 ",Australia/Oceania,4,926,3,,,10,18 March 2020,Non-Lockdown,,,
133,French Polynesia,78518,,649                                ,,N/A,N/A,N/A,7,"276,312","2,284",,,"284,164 ",Australia/Oceania,4,438,,,,"156,139",11 March 2020,Non-Lockdown,,,
134,Eswatini,74670,,"1,425                                ",,"73,116",,129,,"63,022","1,203","1,048,704","885,119","1,184,817 ",Africa,16,831,1,,,109,14 March 2020,Non-Lockdown,,,
135,Guyana,73198,,"1,298                                ",,"71,880",,20,,"92,184","1,635","729,688","918,950","794,045 ",South America,11,612,1,,,25,11 March 2020,Non-Lockdown,,,
136,Belize,70782,,688                                ,,"70,085",,9,6,"171,722","1,669","576,016","1,397,453","412,190 ",North America,6,599,1,,,22,23 March 2020,Non-Lockdown,,,
137,Fiji,68921,,883                                ,,"67,029",,"1,009",,"75,782",971,"670,903","737,689","909,466 ",Australia/Oceania,13,"1,030",1,,,"1,109",19 March 2020,2020-03-20,2020-04-07,18,City
138,Madagascar,68253,,"1,424                                ",,"66,814",,15,,"2,339",49,"530,486","18,181","29,178,077 ",Africa,427,"20,490",55,,,0.5,20 March 2020,2020-03-23,2020-04-20,28,City
139,Sudan,63993,,"5,046                                ",,"58,656",16,291,,"1,391",110,"562,941","12,240","45,992,020 ",Africa,719,"9,115",82,,,6,13 March 2020,Non-Lockdown,,,
140,Mauritania,63715,,997                                ,,"62,471",,247,,"12,998",203,"1,009,957","206,030","4,901,981 ",Africa,77,"4,917",5,,,50,14 March 2020,Non-Lockdown,,,
141,Cabo Verde,63613,,413                                ,,"63,025",,175,23,"112,058",728,"401,622","707,482","567,678 ",Africa,9,"1,375",1,,,308,12 March 2020,Non-Lockdown,,,
142,Bhutan,62668,,21                                ,,"61,564",,"1,083",,"79,534",27,"2,303,734","2,923,739","787,941 ",Asia,13,"37,521",0,,,"1,374",6 March 2020,2020-08-11,2020-09-01,21,National
143,Syria,57542,,"3,164                                ",,"54,370",,8,,"2,971",163,"146,269","7,553","19,364,809 ",Asia,337,"6,120",132,,,0.4,22 March 2020,Non-Lockdown,,,
144,Burundi,53740,,38                                ,,"53,569",,133,,"4,257",3,"345,742","27,386","12,624,840 ",Africa,235,"332,233",37,,,11,31 March 2020,Non-Lockdown,,,
145,Seychelles,50937,,172                                ,,"50,750",,15,,"512,311","1,730",,,"99,426 ",Africa,2,578,,,,151,14 March 2020,Non-Lockdown,,,
146,Gabon,48981,,306                                ,,"48,674",,1,,"21,008",131,"1,621,909","695,641","2,331,533 ",Africa,48,"7,619",1,,,0.4,13 March 2020,Non-Lockdown,,,
147,Andorra,48015,,165                                ,,"47,563",,287,14,"619,844","2,130","249,838","3,225,256","77,463 ",Europe,2,469,0,,,"3,705",2 March 2020,Non-Lockdown,,,
148,Papua New Guinea,46849,,670                                ,,"43,982",,"2,197",7,"5,042",72,"249,149","26,813","9,292,169 ",Australia/Oceania,198,"13,869",37,,,236,20 March 2020,2020-03-24,2020-04-07,14,National
149,Curaçao,45986,,295                                ,,"44,720",,971,3,"277,812","1,782","496,693","3,000,640","165,529 ",North America,4,561,0,,,"5,866",13 March 2020,Non-Lockdown,,,
150,Aruba,44180,,236                                ,,"42,438",,"1,506",2,"410,560","2,193","177,885","1,653,068","107,609 ",North America,2,456,1,,,"13,995",13 March 2020,Non-Lockdown,,,
151,Tanzania,43078,,846                                ,,N/A,N/A,N/A,7,681,13,,,"63,298,550 ",Africa,"1,469","74,821",,,,664,16 March 2020,Non-Lockdown,,,
152,Mauritius,42268,,"1,049                                ",,"40,457",,762,,"33,158",823,"358,675","281,374","1,274,727 ",Africa,30,"1,215",4,,,598,18 March 2020,Non-Lockdown,,,
153,Mayotte,42027,,188                                ,,N/A,N/A,N/A,,"146,815",657,"176,919","618,038","286,259 ",Africa,7,"1,523",2,,,"135,804",14 March 2020,Non-Lockdown,,,
154,Togo,39490,,290                                ,,"39,190",,10,,"4,549",33,"811,189","93,446","8,680,837 ",Africa,220,"29,934",11,,,1,6 March 2020,Non-Lockdown,,,
155,Guinea,38462,,467                                ,,"37,757",,238,8,"2,774",34,"660,107","47,607","13,865,691 ",Africa,361,"29,691",21,,,17,13 March 2020,Non-Lockdown,,,
156,Bahamas,38084,,844                                ,,"36,366",,874,1,"95,087","2,107","257,839","643,767","400,516 ",North America,11,475,2,,,"2,182",15 March 2020,Non-Lockdown,,,
157,Isle of Man,38008,,116                                ,,N/A,N/A,N/A,,"443,335","1,353","150,753","1,758,422","85,732 ",Europe,2,739,1,,,"129,450",19 March 2020,Non-Lockdown,,,
158,Lesotho,34790,,723                                ,,"25,980",,"8,087",,"15,990",332,"431,221","198,199","2,175,699 ",Africa,63,"3,009",5,,,"3,717",13 May 2020,Non-Lockdown,,,
159,Faeroe Islands,34658,,28                                ,,N/A,N/A,N/A,5,"703,959",569,"778,000","15,802,409","49,233 ",Europe,1,"1,758",0,,,"547,133",,Non-Lockdown,,,
160,Haiti,34228,,860                                ,,"33,342",,26,,"2,930",74,"132,422","11,337","11,680,283 ",North America,341,"13,582",88,,,2,19 March 2020,Non-Lockdown,,,
161,Mali,33145,,743                                ,,"32,326",,76,,"1,544",35,"803,712","37,428","21,473,764 ",Africa,648,"28,901",27,,,4,25 March 2020,Non-Lockdown,,,
162,Cayman Islands,31472,,37                                ,,"8,553",,"22,882",1,"467,797",550,"222,773","3,311,280","67,277 ",North America,2,"1,818",0,,,"340,116",13 March 2020,Non-Lockdown,,,
163,Saint Lucia,30052,,409                                ,,"29,095",,548,,"162,344","2,209","210,983","1,139,752","185,113 ",North America,6,453,1,,,"2,960",13 March 2020,Non-Lockdown,,,
164,Benin,28014,,163                                ,,"27,847",,4,,"2,191",13,"604,310","47,268","12,784,726 ",Africa,456,"78,434",21,,,0.3,16 March 2020,Non-Lockdown,,,
165,Somalia,27334,,"1,361                                ",,"13,182",,"12,791",,"1,623",81,"400,466","23,778","16,841,795 ",Africa,616,"12,375",42,,,759,16 March 2020,Non-Lockdown,,,
166,Micronesia,26453,,65                                ,,N/A,N/A,N/A,1,"225,153",553,"82,000","697,938","117,489 ",Australia/Oceania,4,"1,808",1,,,"161,470",,Non-Lockdown,,,
167,Congo,25375,,386                                ,,"24,006",,983,,"4,377",67,"347,815","59,991","5,797,805 ",Africa,228,"15,020",17,,,170,14 March 2020,2020-03-31,2020-04-20,20,National
168,Solomon Islands,24575,,153                                ,,N/A,N/A,N/A,1,"34,077",212,,,"721,159 ",Australia/Oceania,29,"4,713",,,,"11,183",3 October 2020,Non-Lockdown,,,
169,San Marino,24210,,125                                ,,"24,013",,72,4,"710,283","3,667","196,855","5,775,414","34,085 ",Europe,1,273,0,,,"2,112",27 February 2020,2020-03-14,2020-05-05,52,National
170,Timor-Leste,23433,,138                                ,,"23,102",,193,,"17,112",101,"278,529","203,391","1,369,429 ",Asia,58,"9,923",5,,,141,,Non-Lockdown,,,
171,Burkina Faso,22056,,396                                ,,"21,596",,64,,998,18,"248,995","11,265","22,102,838 ",Africa,"1,002","55,815",89,,,3,10 March 2020,Non-Lockdown,,,
172,Liechtenstein,21437,,91                                ,,"21,345",,1,,"558,444","2,371","112,457","2,929,559","38,387 ",Europe,2,422,0,,,26,3 March 2020,Non-Lockdown,,,
173,Gibraltar,20550,,113                                ,,"16,579",,"3,858",,"609,720","3,353","534,283","15,852,213","33,704 ",Europe,2,298,0,,,"114,467",3 March 2020,Non-Lockdown,,,
174,Grenada,19693,,238                                ,,"19,358",,97,4,"173,545","2,097","182,981","1,612,523","113,475 ",North America,6,477,1,,,855,22 March 2020,Non-Lockdown,,,
175,Bermuda,18860,,165                                ,,"18,685",,10,,"304,493","2,664","1,029,558","16,622,128","61,939 ",North America,3,375,0,,,161,20 March 2020,2020-04-04,2020-05-02,28,National
176,Nicaragua,18491,,225                                ,,"4,225",,"14,041",,"2,728",33,,,"6,779,100 ",North America,367,"30,129",,,,"2,071",18 March 2020,Non-Lockdown,,,
177,South Sudan,18368,,138                                ,,"18,115",,115,1,"1,581",12,"410,280","35,313","11,618,511 ",Africa,633,"84,192",28,,,10,5 April 2020,Non-Lockdown,,,
178,Tajikistan,17786,,125                                ,,"17,264",,397,,"1,786",13,,,"9,957,464 ",Asia,560,"79,660",,,,40,30 April 2020,Non-Lockdown,,,
179,Equatorial Guinea,17229,,183                                ,,"16,907",,139,5,"11,512",122,"365,697","244,342","1,496,662 ",Africa,87,"8,178",4,,,93,14 March 2020,Non-Lockdown,,,
180,Tonga,16816,,13                                ,,"15,638",,"1,165",,"156,066",121,"535,009","4,965,327","107,749 ",Australia/Oceania,6,"8,288",0,,,"10,812",29 October 2021,Non-Lockdown,,,
181,Monaco,16749,,67                                ,,"15,992",,690,4,"421,009","1,684","78,646","1,976,875","39,783 ",Europe,2,594,1,,,"17,344",28 February 2020,Non-Lockdown,,,
182,Samoa,16743,,31                                ,,"1,605",,"15,107",,"82,788",153,"187,397","926,612","202,239 ",Australia/Oceania,12,"6,524",1,,,"74,699",18 November 2020,2020-03-26,2020-04-08,13,National
183,Marshall Islands,16081,,17                                ,,"15,954",,110,,"267,762",283,,,"60,057 ",Australia/Oceania,4,"3,533",,,,"1,832",28 October 2020,Non-Lockdown,,,
184,Dominica,15760,,74                                ,,"15,673",,13,,"217,848","1,023","229,344","3,170,187","72,344 ",North America,5,978,0,,,180,22 March 2020,Non-Lockdown,,,
185,Djibouti,15690,,189                                ,,"15,427",,74,,"15,441",186,"305,941","301,094","1,016,097 ",Africa,65,"5,376",3,,,73,18 March 2020,Non-Lockdown,,,
186,CAR,15368,,113                                ,,"15,200",,55,2,"3,063",23,"81,294","16,205","5,016,678 ",Africa,326,"44,395",62,,,11,14 March 2020,Non-Lockdown,,,
187,Gambia,12626,,372                                ,,"12,189",,65,,"4,935",145,"155,686","60,851","2,558,482 ",Africa,203,"6,878",16,,,25,17 March 2020,Non-Lockdown,,,
188,Saint Martin,12300,,63                                ,,"1,399",,"10,838",7,"309,590","1,586","112,382","2,828,643","39,730 ",North America,3,631,0,,,"272,791",1 March 2020,Non-Lockdown,,,
189,Vanuatu,12016,,14                                ,,"11,976",,26,,"37,336",44,"24,976","77,606","321,832 ",Australia/Oceania,27,"22,988",13,,,81,11 November 2020,Non-Lockdown,,,
190,Greenland,11971,,21                                ,,"2,761",,"9,189",4,"210,117",369,"164,926","2,894,810","56,973 ",North America,5,"2,713",0,,,"161,287",16 March 2020,Non-Lockdown,,,
191,Yemen,11945,,"2,159                                ",,"9,124",,662,23,383,69,"329,592","10,579","31,154,867 ",Asia,"2,608","14,430",95,,,21,10 April 2020,Non-Lockdown,,,
192,Caribbean Netherlands,11682,,38                                ,,"10,476",,"1,168",,"438,398","1,426","30,126","1,130,559","26,647 ",North America,2,701,1,,,"43,832",,Non-Lockdown,,,
193,Sint Maarten,11030,,92                                ,,"10,905",,33,N/A,"250,876","2,093","62,056","1,411,454","43,966 ",North America,4,478,1,,,751,17 March 2020,Non-Lockdown,,,
194,Niger,9931,,312                                ,,"8,890",,729,1,381,12,"254,538","9,759","26,083,660 ",Africa,"2,626","83,601",102,,,28,19 March 2020,Non-Lockdown,,,
195,St. Vincent Grenadines,9619,,124                                ,,"9,488",,7,,"86,230","1,112","114,100","1,022,851","111,551 ",North America,12,900,1,,,63,,Non-Lockdown,,,
196,Guinea-Bissau,9614,,177                                ,,"8,929",,508,6,"4,659",86,"145,231","70,385","2,063,367 ",Africa,215,"11,657",14,,,246,25 March 2020,Non-Lockdown,,,
197,Comoros,9109,,161                                ,,"8,939",,9,,"10,038",177,,,"907,419 ",Africa,100,"5,636",,,,10,30 April 2020,Non-Lockdown,,,
198,Antigua and Barbuda,9106,,146                                ,,"8,954",,6,1,"91,509","1,467","18,901","189,943","99,509 ",North America,11,682,5,,,60,13 March 2020,Non-Lockdown,,,
199,Liberia,8090,,295                                ,,"7,783",,12,2,"1,525",56,"139,824","26,356","5,305,117 ",Africa,656,"17,983",38,,,2,16 March 2020,Non-Lockdown,,,
200,Sierra Leone,7762,,126                                ,,N/A,N/A,N/A,,934,15,"259,958","31,296","8,306,436 ",Africa,"1,070","65,924",32,,,330,31 March 2020,Non-Lockdown,,,
201,Chad,7698,,194                                ,,"4,874",,"2,630",,442,11,"191,341","10,988","17,413,580 ",Africa,"2,262","89,761",91,,,151,12 March 2020,Non-Lockdown,,,
202,British Virgin Islands,7305,,64                                ,,N/A,N/A,N/A,,"238,757","2,092","107,339","3,508,269","30,596 ",North America,4,478,0,,,392,25 March 2020,Non-Lockdown,,,
203,Cook Islands,7067,,2                                ,,"7,060",,5,,"402,197",114,"19,690","1,120,596","17,571 ",Australia/Oceania,2,"8,786",1,,,285,3 December 2021,Non-Lockdown,,,
204,Saint Kitts and Nevis,6600,,48                                ,,"6,550",,2,,"122,515",891,"126,941","2,356,388","53,871 ",North America,8,"1,122",0,,,37,25 March 2020,Non-Lockdown,,,
205,Turks and Caicos,6588,,38                                ,,"6,529",,21,4,"165,773",956,"612,335","15,408,143","39,741 ",North America,6,"1,046",0,,,528,6 April 2020,Non-Lockdown,,,
206,Sao Tome and Principe,6575,,80                                ,,"6,494",,1,,"28,878",351,"29,036","127,530","227,679 ",Africa,35,"2,846",8,,,4,,Non-Lockdown,,,
207,St. Barth,5486,,6                                ,,N/A,N/A,N/A,,"551,634",603,"78,646","7,908,095","9,945 ",North America,2,"1,658",0,,,"504,575",1 March 2020,Non-Lockdown,,,
208,Nauru,5393,,1                                ,,"5,347",,45,,"494,635",92,"20,509","1,881,042","10,903 ",Australia/Oceania,2,"10,903",1,,,"4,127",2 April 2022,Non-Lockdown,,,
209,Kiribati,5025,,24                                ,,"2,703",,"2,298",3,"40,715",194,,,"123,419 ",Australia/Oceania,25,"5,142",,,,"18,619",18 May 2021,Non-Lockdown,,,
210,Anguilla,3904,,12                                ,,"3,879",,13,4,"256,336",788,"51,382","3,373,736","15,230 ",North America,4,"1,269",0,,,854,26 March 2020,Non-Lockdown,,,
211,Macao,3540,,121                                ,,"3,408",,11,,"5,303",181,"7,850","11,760","667,490 ",Asia,189,"5,516",85,,,16,22 January 2020,Non-Lockdown,,,
212,Saint Pierre Miquelon,3452,,2                                ,,"2,449",,"1,001",1,"599,410",347,"25,400","4,410,488","5,759 ",North America,2,"2,880",0,,,"173,815",5 April 2020,Non-Lockdown,,,
213,Wallis and Futuna,3427,,7                                ,,438,,"2,982",,"312,056",637,"20,508","1,867,419","10,982 ",Australia/Oceania,3,"1,569",1,,,"271,535",16 October 2020,Non-Lockdown,,,
214,Tuvalu,2805,, ,,,,"2,805",,"232,471",,,,"12,066 ",Australia/Oceania,4,,,,,"232,471",20 May 2022,Non-Lockdown,,,
215,Saint Helena,2166,, ,,2,,"2,164",,"354,211",,,,"6,115 ",Africa,3,,,,,"353,884",,Non-Lockdown,,,
216,Montserrat,1403,,8                                ,,"1,376",,19,,"282,578","1,611","17,762","3,577,442","4,965 ",North America,4,621,0,,,"3,827",18 March 2020,Non-Lockdown,,,
217,Tokelau,5,, ,,,,5,,"3,628",,,,"1,378 ",Australia/Oceania,276,,,,,"3,628",21 December 2022,Non-Lockdown,,,
218,China,503302,,"5,272                                ",,"379,053",,"118,977",N/A,347,4,"160,000,000","110,461","1,448,471,400                                ",Asia,"2,878","274,748",9,,,82,1 December 2019,Non-Lockdown,,,
219,Total:,688091303,"20,575","6,873,000",12,"660,502,581","23,697","20,715,722","39,079","88,275.7",881.7,,,,All,"
",,,,,,,Non-Lockdown,,,
