,first_case,"Country,Other"
0,1 December 2019,China
1,13 January 2020,Thailand
2,16 January 2020,Japan
3,20 January 2020,South Korea
4,21 January 2020,Taiwan
5,22 January 2020,Hong Kong
6,23 January 2020,Nepal
7,24 January 2020,France
8,25 January 2020,Australia
9,27 January 2020,Cambodia
10,29 January 2020,Finland
11,30 January 2020,India
12,31 January 2020,Russia
13,3 February 2020,Belgium
14,14 February 2020,Egypt
15,19 February 2020,Iran
16,21 February 2020,Israel
17,24 February 2020,Afghanistan
18,25 February 2020,Algeria
19,26 February 2020,Georgia
20,27 February 2020,Denmark
21,28 February 2020,Azerbaijan
22,29 February 2020,Ecuador
23,1 March 2020,Armenia
24,2 March 2020,Andorra
25,3 March 2020,Argentina
26,4 March 2020,Faroe Islands
27,5 March 2020,Bosnia and Herzegovina
28,6 March 2020,Bhutan
29,7 March 2020,Maldives
30,8 March 2020,Albania
31,9 March 2020,Brunei
32,10 March 2020,Bolivia
33,11 March 2020,Cuba
34,12 March 2020,Saint Vincent and the Grenadines
35,13 March 2020,Antigua and Barbuda
36,14 March 2020,Central African Republic
37,15 March 2020,Akrotiri and Dhekelia
38,16 March 2020,Benin
39,17 March 2020,Barbados
40,18 March 2020,Bermuda
41,19 March 2020,Angola
42,20 March 2020,Cape Verde
43,21 March 2020,Eritrea
44,22 March 2020,Åland
45,23 March 2020,Belize
46,24 March 2020,Laos
47,25 March 2020,British Virgin Islands
48,26 March 2020,Anguilla
49,28 March 2020,Northern Mariana Islands
50,30 March 2020,Botswana
51,31 March 2020,Burundi
52,2 April 2020,Malawi
53,3 April 2020,Falkland Islands
54,4 April 2020,Western Sahara
55,5 April 2020,Saint Pierre and Miquelon
56,6 April 2020,São Tomé and Príncipe
57,7 April 2020,Abkhazia
58,10 April 2020,Yemen
59,11 April 2020,Saba
60,16 April 2020,Bonaire
61,30 April 2020,Comoros
62,6 May 2020,South Ossetia
63,13 May 2020,Lesotho
64,25 July 2020,Sahrawi Arab Democratic Republic
65,7 September 2020,"Saint Helena, Ascension and Tristan da Cunha"
66,3 October 2020,Solomon Islands
67,16 October 2020,Wallis and Futuna
68,28 October 2020,Marshall Islands
69,November 2020,British Indian Ocean Territory
70,9 November 2020,American Samoa
71,11 November 2020,Vanuatu
72,18 November 2020,Samoa
73,21 December 2020,Antarctica
74,8 January 2021,Federated States of Micronesia
75,18 May 2021,Kiribati
76,31 May 2021,Palau
77,6 October 2021,Svalbard
78,29 October 2021,Tonga
79,3 December 2021,Cook Islands
80,30 December 2021,Norfolk Island
81,6 March 2022,Christmas Island
82,9 March 2022,Niue
83,19 March 2022,Cocos (Keeling) Islands
84,2 April 2022,Nauru
85,8 May 2022,North Korea
86,20 May 2022,Tuvalu
87,16 July 2022,Pitcairn Islands
88,21 December 2022,Tokelau
3,20 January 2020,United States
5,22 January 2020,Macau
6,23 January 2020,Singapore
8,25 January 2020,Canada
9,27 January 2020,Germany
10,29 January 2020,United Arab Emirates
11,30 January 2020,Italy
12,31 January 2020,Spain
16,21 February 2020,Lebanon
17,24 February 2020,Bahrain
18,25 February 2020,Austria
19,26 February 2020,Greece
20,27 February 2020,Estonia
21,28 February 2020,Belarus
22,29 February 2020,Ireland
23,1 March 2020,Czechia
24,2 March 2020,Indonesia
25,3 March 2020,Chile
26,4 March 2020,French Guiana
27,5 March 2020,Martinique
28,6 March 2020,Cameroon
29,7 March 2020,Malta
30,8 March 2020,Bangladesh
31,9 March 2020,Cyprus
32,10 March 2020,Burkina Faso
33,11 March 2020,French Polynesia
34,12 March 2020,Trinidad and Tobago
35,13 March 2020,Aruba
36,14 March 2020,Congo
37,15 March 2020,Bahamas
38,16 March 2020,Greenland
39,17 March 2020,Gambia
40,18 March 2020,Djibouti
41,19 March 2020,Chad
42,20 March 2020,East Timor
43,21 March 2020,Transnistria
44,22 March 2020,Dominica
45,23 March 2020,Myanmar
46,24 March 2020,Libya
47,25 March 2020,Guinea-Bissau
51,31 March 2020,Donetsk People's Republic
55,5 April 2020,South Sudan
57,7 April 2020,Artsakh
61,30 April 2020,Tajikistan
6,23 January 2020,Vietnam
8,25 January 2020,Malaysia
9,27 January 2020,Sri Lanka
11,30 January 2020,Philippines
12,31 January 2020,Sweden
17,24 February 2020,Iraq
18,25 February 2020,Brazil
19,26 February 2020,North Macedonia
20,27 February 2020,Netherlands
21,28 February 2020,Iceland
22,29 February 2020,Luxembourg
23,1 March 2020,Dominican Republic
24,2 March 2020,Jordan
25,3 March 2020,Gibraltar
26,4 March 2020,Hungary
27,5 March 2020,Palestine
28,6 March 2020,Colombia
29,7 March 2020,Moldova
30,8 March 2020,Bulgaria
31,9 March 2020,Guernsey
32,10 March 2020,DR Congo
33,11 March 2020,Guyana
35,13 March 2020,Cayman Islands
36,14 March 2020,Equatorial Guinea
37,15 March 2020,Guam
38,16 March 2020,Liberia
39,17 March 2020,Montenegro
40,18 March 2020,El Salvador
41,19 March 2020,Fiji
42,20 March 2020,Madagascar
44,22 March 2020,Grenada
45,23 March 2020,Turks and Caicos Islands
47,25 March 2020,Mali
51,31 March 2020,Luhansk People's Republic
12,31 January 2020,United Kingdom
17,24 February 2020,Kuwait
18,25 February 2020,Croatia
19,26 February 2020,Norway
20,27 February 2020,Nigeria
21,28 February 2020,Lithuania
22,29 February 2020,Qatar
23,1 March 2020,Saint Barthélemy
24,2 March 2020,Latvia
25,3 March 2020,Liechtenstein
26,4 March 2020,Poland
27,5 March 2020,South Africa
28,6 March 2020,Costa Rica
29,7 March 2020,Paraguay
31,9 March 2020,Panama
32,10 March 2020,Jamaica
33,11 March 2020,Honduras
35,13 March 2020,Curaçao
36,14 March 2020,Eswatini
37,15 March 2020,Uzbekistan
38,16 March 2020,Somalia
39,17 March 2020,Sint Maarten
40,18 March 2020,Kyrgyzstan
41,19 March 2020,Haiti
42,20 March 2020,Papua New Guinea
44,22 March 2020,Mozambique
47,25 March 2020,Saint Kitts and Nevis
51,31 March 2020,Sierra Leone
17,24 February 2020,Oman
18,25 February 2020,Switzerland
19,26 February 2020,Pakistan
20,27 February 2020,San Marino
21,28 February 2020,Mexico
23,1 March 2020,Saint Martin
24,2 March 2020,Morocco
25,3 March 2020,Ukraine
26,4 March 2020,Slovenia
28,6 March 2020,Peru
32,10 March 2020,Jersey
33,11 March 2020,Ivory Coast
35,13 March 2020,Ethiopia
36,14 March 2020,Mauritania
38,16 March 2020,Tanzania
40,18 March 2020,Mauritius
41,19 March 2020,Isle of Man
42,20 March 2020,Uganda
44,22 March 2020,Syria
51,31 March 2020,Sint Eustatius
19,26 February 2020,Romania
21,28 February 2020,Monaco
24,2 March 2020,Portugal
28,6 March 2020,Serbia
32,10 March 2020,Mongolia
33,11 March 2020,Réunion
35,13 March 2020,Gabon
36,14 March 2020,Mayotte
40,18 March 2020,Montserrat
41,19 March 2020,Niger
42,20 March 2020,Zimbabwe
51,31 March 2020,Somaliland
21,28 February 2020,New Zealand
24,2 March 2020,Saudi Arabia
28,6 March 2020,Slovakia
32,10 March 2020,Northern Cyprus
33,11 March 2020,Turkey
35,13 March 2020,Ghana
36,14 March 2020,Namibia
40,18 March 2020,New Caledonia
24,2 March 2020,Senegal
28,6 March 2020,Togo
35,13 March 2020,Guadeloupe
36,14 March 2020,Rwanda
40,18 March 2020,Nicaragua
24,2 March 2020,Tunisia
28,6 March 2020,Vatican City
35,13 March 2020,Guatemala
36,14 March 2020,Seychelles
40,18 March 2020,Zambia
35,13 March 2020,Guinea
35,13 March 2020,Kazakhstan
35,13 March 2020,Kenya
35,13 March 2020,Kosovo
35,13 March 2020,Puerto Rico
35,13 March 2020,Saint Lucia
35,13 March 2020,Sudan
35,13 March 2020,Suriname
35,13 March 2020,United States Virgin Islands
35,13 March 2020,Uruguay
35,13 March 2020,Venezuela
